"otu"	"tax"	"sim"
"57088"	"SCOR.D2.110m.DNA_565726"	23633	98.11
"57187"	"SCOR.D2.110m.DNA_565824"	23633	97.9
"57307"	"SCOR.D2.110m.DNA_565937"	28241	99.58
"57395"	"SCOR.D2.110m.DNA_566023"	35841	99.19
"57414"	"SCOR.D2.110m.DNA_566042"	7561	98.52
"57762"	"SCOR.D2.110m.DNA_566383"	10939	98.38
"57767"	"SCOR.D2.110m.DNA_566388"	22164	99.54
"57770"	"SCOR.D2.110m.DNA_566391"	2274	99.39
"57778"	"SCOR.D2.110m.DNA_566399"	39646	99.37
"57817"	"SCOR.D2.110m.DNA_566436"	10939	97.78
"57933"	"SCOR.D2.110m.DNA_566551"	39646	98.66
"58103"	"SCOR.D2.110m.DNA_566714"	39646	99.01
"58185"	"SCOR.D2.110m.DNA_566796"	30591	99.79
"58228"	"SCOR.D2.110m.DNA_566839"	12385	99.55
"58304"	"SCOR.D2.110m.DNA_566915"	23633	99.58
"58426"	"SCOR.D2.110m.DNA_567036"	39646	98.99
"58527"	"SCOR.D2.110m.DNA_567131"	28241	99.38
"58660"	"SCOR.D2.110m.DNA_567265"	39646	99.37
"58714"	"SCOR.D2.110m.DNA_567316"	39646	99.6
"59056"	"SCOR.D2.110m.DNA_567653"	12385	99.35
"59066"	"SCOR.D2.110m.DNA_567663"	12385	98.81
"59355"	"SCOR.D2.110m.DNA_567949"	19082	99.07
"59482"	"SCOR.D2.110m.DNA_568075"	39646	99.18
"59488"	"SCOR.D2.110m.DNA_568081"	8780	99.78
"59558"	"SCOR.D2.110m.DNA_568148"	10939	97.98
"59668"	"SCOR.D2.110m.DNA_568257"	23633	97.93
"59753"	"SCOR.D2.110m.DNA_568341"	17737	97.72
"59822"	"SCOR.D2.110m.DNA_568410"	5081	98.12
"59848"	"SCOR.D2.110m.DNA_568436"	23633	98.53
"59992"	"SCOR.D2.110m.DNA_568577"	23633	98.32
"60189"	"SCOR.D2.110m.DNA_568772"	39646	99.37
"60190"	"SCOR.D2.110m.DNA_568773"	38500	99.8
"60204"	"SCOR.D2.110m.DNA_568787"	2274	98.65
"60264"	"SCOR.D2.110m.DNA_568844"	30591	99.53
"60344"	"SCOR.D2.110m.DNA_568923"	17737	97.93
"60381"	"SCOR.D2.110m.DNA_568960"	16229	97.91
"60458"	"SCOR.D2.110m.DNA_569034"	39646	99.58
"60591"	"SCOR.D2.110m.DNA_569167"	39646	99.58
"60629"	"SCOR.D2.110m.DNA_569205"	23633	98.29
"60648"	"SCOR.D2.110m.DNA_569224"	19082	98.16
"60804"	"SCOR.D2.110m.DNA_569376"	39646	99.2
"60834"	"SCOR.D2.110m.DNA_569406"	17737	97.93
"60896"	"SCOR.D2.110m.DNA_569468"	39646	99.37
"61001"	"SCOR.D2.110m.DNA_569573"	39646	98.61
"61088"	"SCOR.D2.110m.DNA_569656"	28241	99.79
"61095"	"SCOR.D2.110m.DNA_569663"	17547	99.37
"61323"	"SCOR.D2.110m.DNA_569887"	39646	99.19
"61445"	"SCOR.D2.110m.DNA_570005"	35841	99.8
"61515"	"SCOR.D2.110m.DNA_570074"	39646	98.93
"61568"	"SCOR.D2.110m.DNA_570122"	17737	97.93
"61667"	"SCOR.D2.110m.DNA_570220"	39646	98.79
"61854"	"SCOR.D2.110m.DNA_570404"	28241	99.38
"62074"	"SCOR.D2.110m.DNA_570615"	23633	97.5
"62349"	"SCOR.D2.110m.DNA_570887"	39646	99.37
"62351"	"SCOR.D2.110m.DNA_570889"	23633	98.12
"62541"	"SCOR.D2.110m.DNA_571074"	23633	99.79
"62594"	"SCOR.D2.110m.DNA_571126"	26582	100
"62652"	"SCOR.D2.110m.DNA_571183"	23633	98.59
"62682"	"SCOR.D2.110m.DNA_571213"	39646	99.58
"62730"	"SCOR.D2.110m.DNA_571258"	39646	98.96
"62875"	"SCOR.D2.110m.DNA_571400"	39646	98.54
"62949"	"SCOR.D2.110m.DNA_571473"	19082	99.4
"62976"	"SCOR.D2.110m.DNA_571499"	23633	99.79
"63207"	"SCOR.D2.110m.DNA_571724"	39646	98.92
"63238"	"SCOR.D2.110m.DNA_571755"	32070	99.29
"63270"	"SCOR.D2.110m.DNA_571787"	42773	99.77
"63282"	"SCOR.D2.110m.DNA_571799"	5081	98.33
"63501"	"SCOR.D2.110m.DNA_572014"	2274	99.76
"63581"	"SCOR.D2.110m.DNA_572088"	28241	99.59
"63667"	"SCOR.D2.110m.DNA_572173"	12385	99.06
"63819"	"SCOR.D2.110m.DNA_572324"	10939	97.93
"63972"	"SCOR.D2.110m.DNA_572474"	12385	98.31
"64022"	"SCOR.D2.110m.DNA_572524"	23633	98.4
"64154"	"SCOR.D2.110m.DNA_572654"	23633	98.32
"64164"	"SCOR.D2.110m.DNA_572664"	38500	100
"64194"	"SCOR.D2.110m.DNA_572694"	10939	98.19
"64248"	"SCOR.D2.110m.DNA_572747"	5081	98.33
"64250"	"SCOR.D2.110m.DNA_572749"	35841	100
"64382"	"SCOR.D2.110m.DNA_572880"	39646	99.39
"64467"	"SCOR.D2.110m.DNA_572963"	23633	99.16
"64569"	"SCOR.D2.110m.DNA_573062"	23633	99.78
"64936"	"SCOR.D2.110m.DNA_573419"	23633	98.5
"65061"	"SCOR.D2.110m.DNA_573543"	32070	99.6
"65172"	"SCOR.D2.110m.DNA_573649"	39646	98.22
"65455"	"SCOR.D2.110m.DNA_573930"	23633	99.02
"65506"	"SCOR.D2.110m.DNA_573981"	39646	98.84
"65507"	"SCOR.D2.110m.DNA_573982"	28241	99.79
"65691"	"SCOR.D2.110m.DNA_574164"	5081	98.33
"65855"	"SCOR.D2.110m.DNA_574327"	17737	97.5
"65869"	"SCOR.D2.110m.DNA_574341"	23633	99.16
"65970"	"SCOR.D2.110m.DNA_574440"	23633	98.32
"66060"	"SCOR.D2.110m.DNA_574528"	23633	98.72
"66321"	"SCOR.D2.110m.DNA_574781"	8780	100
"66487"	"SCOR.D2.110m.DNA_574941"	12385	99.78
"66488"	"SCOR.D2.110m.DNA_574942"	26650	99.78
"66590"	"SCOR.D2.110m.DNA_575042"	39646	98.99
"66643"	"SCOR.D2.110m.DNA_575095"	23633	99.15
"66793"	"SCOR.D2.110m.DNA_575238"	19082	100
"66811"	"SCOR.D2.110m.DNA_575256"	39646	99.6
"66876"	"SCOR.D2.110m.DNA_575320"	39646	98.3
"66969"	"SCOR.D2.110m.DNA_575413"	39646	99.2
"67016"	"SCOR.D2.110m.DNA_575459"	5081	98.28
"67051"	"SCOR.D2.110m.DNA_575494"	39646	98.46
"67201"	"SCOR.D2.110m.DNA_575643"	10939	98.19
"67295"	"SCOR.D2.110m.DNA_575737"	23633	99.36
"67385"	"SCOR.D2.110m.DNA_575822"	23633	98.08
"67409"	"SCOR.D2.110m.DNA_575846"	23633	98.32
"67518"	"SCOR.D2.110m.DNA_575952"	23633	99.79
"67531"	"SCOR.D2.110m.DNA_575965"	10939	98.36
"67535"	"SCOR.D2.110m.DNA_575969"	39646	99.58
"67822"	"SCOR.D2.110m.DNA_576252"	19082	99.2
"67899"	"SCOR.D2.110m.DNA_576327"	39646	99.16
"68253"	"SCOR.D2.110m.DNA_576665"	19082	99.18
"68373"	"SCOR.D2.110m.DNA_576783"	10939	98.16
"68426"	"SCOR.D2.110m.DNA_576833"	17737	97.72
"68561"	"SCOR.D2.110m.DNA_576965"	12385	99.55
"68682"	"SCOR.D2.110m.DNA_577080"	17737	97.51
"68708"	"SCOR.D2.110m.DNA_577106"	10939	98.16
"68766"	"SCOR.D2.110m.DNA_577164"	23633	98.53
"68912"	"SCOR.D2.110m.DNA_577309"	39646	98.96
"68973"	"SCOR.D2.110m.DNA_577370"	39646	99.37
"68979"	"SCOR.D2.110m.DNA_577376"	39646	99.18
"68991"	"SCOR.D2.110m.DNA_577387"	39646	99.58
"69006"	"SCOR.D2.110m.DNA_577402"	23633	98.13
"69040"	"SCOR.D2.110m.DNA_577435"	12385	98.93
"69157"	"SCOR.D2.110m.DNA_577548"	32940	96.19
"69243"	"SCOR.D2.110m.DNA_577633"	32940	99.4
"69295"	"SCOR.D2.110m.DNA_577684"	10939	97.93
"69300"	"SCOR.D2.110m.DNA_577688"	10939	97.79
"69359"	"SCOR.D2.110m.DNA_577743"	13270	99.8
"69404"	"SCOR.D2.120m.DNA_577787"	23633	97.27
"69529"	"SCOR.D2.120m.DNA_577904"	32940	100
"69541"	"SCOR.D2.120m.DNA_577916"	13270	99.21
"69550"	"SCOR.D2.120m.DNA_577925"	23633	98.89
"69650"	"SCOR.D2.120m.DNA_578018"	39646	98.58
"69726"	"SCOR.D2.120m.DNA_578089"	17737	97.29
"69727"	"SCOR.D2.120m.DNA_578090"	2962	100
"69740"	"SCOR.D2.120m.DNA_578100"	19082	100
"69745"	"SCOR.D2.120m.DNA_578105"	23633	97.9
"69774"	"SCOR.D2.120m.DNA_578131"	10939	98.19
"69791"	"SCOR.D2.120m.DNA_578148"	39646	99.6
"69803"	"SCOR.D2.120m.DNA_578160"	39646	98.43
"69812"	"SCOR.D2.120m.DNA_578170"	2274	100
"69822"	"SCOR.D2.120m.DNA_578180"	23633	97.28
"69853"	"SCOR.D2.120m.DNA_578210"	12385	98.53
"69990"	"SCOR.D2.120m.DNA_578341"	32940	99.79
"70093"	"SCOR.D2.120m.DNA_578444"	19082	99.4
"70156"	"SCOR.D2.120m.DNA_578507"	39646	98.98
"70198"	"SCOR.D2.120m.DNA_578550"	39646	99.8
"70240"	"SCOR.D2.120m.DNA_578590"	49468	99.37
"70289"	"SCOR.D2.120m.DNA_578639"	23633	98.25
"70305"	"SCOR.D2.120m.DNA_578655"	10939	97.58
"70338"	"SCOR.D2.120m.DNA_578688"	17737	97.93
"70381"	"SCOR.D2.120m.DNA_578731"	39646	99.2
"70395"	"SCOR.D2.120m.DNA_578745"	10939	98.59
"70416"	"SCOR.D2.120m.DNA_578766"	23633	97.63
"70483"	"SCOR.D2.120m.DNA_578833"	2274	99.79
"70550"	"SCOR.D2.120m.DNA_578899"	5081	97.9
"70584"	"SCOR.D2.120m.DNA_578931"	39646	99.4
"70638"	"SCOR.D2.120m.DNA_578982"	10939	98.19
"70642"	"SCOR.D2.120m.DNA_578986"	39646	99.16
"70646"	"SCOR.D2.120m.DNA_578990"	17737	97.72
"70656"	"SCOR.D2.120m.DNA_579000"	10939	97.98
"70681"	"SCOR.D2.120m.DNA_579025"	39646	99.21
"70866"	"SCOR.D2.120m.DNA_579206"	39646	98.61
"70976"	"SCOR.D2.120m.DNA_579313"	23633	97.69
"70988"	"SCOR.D2.120m.DNA_579325"	10939	98.59
"71010"	"SCOR.D2.120m.DNA_579347"	39646	98.78
"71076"	"SCOR.D2.120m.DNA_579414"	32940	99.4
"71107"	"SCOR.D2.120m.DNA_579444"	7561	98.58
"71117"	"SCOR.D2.120m.DNA_579454"	39646	98.42
"71128"	"SCOR.D2.120m.DNA_579465"	19082	99.8
"71183"	"SCOR.D2.120m.DNA_579520"	39646	99.79
"71268"	"SCOR.D2.120m.DNA_579603"	35841	98.98
"71299"	"SCOR.D2.120m.DNA_579631"	10939	98.54
"71308"	"SCOR.D2.120m.DNA_579639"	39646	98.81
"71340"	"SCOR.D2.120m.DNA_579670"	28241	99.59
"71385"	"SCOR.D2.120m.DNA_579711"	23633	97.49
"71403"	"SCOR.D2.120m.DNA_579729"	39646	98.37
"71472"	"SCOR.D2.120m.DNA_579798"	39646	99
"71476"	"SCOR.D2.120m.DNA_579802"	32940	98.21
"71555"	"SCOR.D2.120m.DNA_579879"	23633	98.95
"71634"	"SCOR.D2.120m.DNA_579956"	23633	99.16
"71708"	"SCOR.D2.120m.DNA_580030"	35841	99.79
"71748"	"SCOR.D2.120m.DNA_580070"	5081	98.11
"71799"	"SCOR.D2.120m.DNA_580117"	41856	98.31
"71849"	"SCOR.D2.120m.DNA_580166"	2274	99.59
"71856"	"SCOR.D2.120m.DNA_580171"	35841	100
"71876"	"SCOR.D2.120m.DNA_580191"	8780	98.12
"71900"	"SCOR.D2.120m.DNA_580214"	23633	98.31
"71934"	"SCOR.D2.120m.DNA_580248"	16229	97.05
"71984"	"SCOR.D2.120m.DNA_580298"	5081	98.31
"72006"	"SCOR.D2.120m.DNA_580320"	30591	99.76
"72015"	"SCOR.D2.120m.DNA_580329"	10939	98.38
"72105"	"SCOR.D2.120m.DNA_580415"	23633	96.89
"72151"	"SCOR.D2.120m.DNA_580461"	10939	98.35
"72185"	"SCOR.D2.120m.DNA_580495"	39646	98.81
"72250"	"SCOR.D2.120m.DNA_580558"	39646	99.4
"72313"	"SCOR.D2.120m.DNA_580620"	12385	99.57
"72386"	"SCOR.D2.120m.DNA_580693"	39646	98.59
"72424"	"SCOR.D2.120m.DNA_580731"	39646	99.19
"72425"	"SCOR.D2.120m.DNA_580732"	35841	99.26
"72429"	"SCOR.D2.120m.DNA_580736"	23633	99.58
"72442"	"SCOR.D2.120m.DNA_580749"	32940	98.59
"72462"	"SCOR.D2.120m.DNA_580768"	12385	99.37
"72598"	"SCOR.D2.120m.DNA_580896"	39646	98.22
"72650"	"SCOR.D2.120m.DNA_580947"	39646	98.99
"72691"	"SCOR.D2.120m.DNA_580987"	32940	99.4
"72707"	"SCOR.D2.120m.DNA_581003"	12385	98.74
"72761"	"SCOR.D2.120m.DNA_581051"	5081	97.71
"72787"	"SCOR.D2.120m.DNA_581076"	17547	100
"72815"	"SCOR.D2.120m.DNA_581104"	23633	97.48
"72938"	"SCOR.D2.120m.DNA_581220"	23633	98.74
"72942"	"SCOR.D2.120m.DNA_581224"	39646	98.59
"72960"	"SCOR.D2.120m.DNA_581241"	19082	99.36
"72984"	"SCOR.D2.120m.DNA_581264"	35841	99.79
"73091"	"SCOR.D2.120m.DNA_581352"	2274	99.79
"73148"	"SCOR.D2.120m.DNA_581405"	12385	98.49
"73172"	"SCOR.D2.120m.DNA_581426"	23633	97.49
"73174"	"SCOR.D2.120m.DNA_581428"	2274	99.8
"73200"	"SCOR.D2.120m.DNA_581454"	10557	99.79
"73264"	"SCOR.D2.120m.DNA_581515"	2962	99.57
"73280"	"SCOR.D2.120m.DNA_581531"	23633	99.58
"73336"	"SCOR.D2.120m.DNA_581585"	26582	100
"73370"	"SCOR.D2.120m.DNA_581619"	26582	100
"73394"	"SCOR.D2.120m.DNA_581643"	32940	99.4
"73402"	"SCOR.D2.120m.DNA_581651"	23633	99.16
"73453"	"SCOR.D2.120m.DNA_581701"	10939	98.38
"73572"	"SCOR.D2.120m.DNA_581819"	17547	100
"73644"	"SCOR.D2.120m.DNA_581891"	39646	99.16
"73647"	"SCOR.D2.120m.DNA_581894"	5081	97.48
"73698"	"SCOR.D2.120m.DNA_581944"	39646	99.19
"73734"	"SCOR.D2.120m.DNA_581980"	35841	99.4
"73768"	"SCOR.D2.120m.DNA_582015"	17737	98.14
"73821"	"SCOR.D2.120m.DNA_582065"	5081	97.48
"73962"	"SCOR.D2.120m.DNA_582204"	23633	99.79
"74082"	"SCOR.D2.120m.DNA_582320"	19082	99.4
"74110"	"SCOR.D2.120m.DNA_582347"	19082	99.8
"74157"	"SCOR.D2.120m.DNA_582394"	12385	98.97
"74159"	"SCOR.D2.120m.DNA_582396"	39646	98.79
"74255"	"SCOR.D2.120m.DNA_582491"	35841	100
"74258"	"SCOR.D2.120m.DNA_582494"	39646	99.6
"74440"	"SCOR.D2.120m.DNA_582666"	19082	99.4
"74512"	"SCOR.D2.120m.DNA_582737"	41856	99.79
"74635"	"SCOR.D2.120m.DNA_582854"	10939	98.59
"74823"	"SCOR.D2.120m.DNA_583035"	23633	99.37
"74845"	"SCOR.D2.120m.DNA_583057"	17737	98.34
"74948"	"SCOR.D2.120m.DNA_583156"	41856	97.95
"75009"	"SCOR.D2.120m.DNA_583217"	32940	99.4
"75010"	"SCOR.D2.120m.DNA_583218"	19082	99.2
"75224"	"SCOR.D2.120m.DNA_583431"	39646	98.8
"75295"	"SCOR.D2.120m.DNA_583499"	35841	99.79
"75350"	"SCOR.D2.120m.DNA_583555"	23633	99.14
"75557"	"SCOR.D2.120m.DNA_583755"	39646	99.4
"75593"	"SCOR.D2.120m.DNA_583792"	17737	97.93
"75737"	"SCOR.D2.120m.DNA_583933"	39646	98.59
"75739"	"SCOR.D2.120m.DNA_583935"	12385	98.95
"75772"	"SCOR.D2.120m.DNA_583966"	39646	99.37
"75779"	"SCOR.D2.120m.DNA_583973"	23633	97.7
"75966"	"SCOR.D2.120m.DNA_584154"	2274	99.15
"75970"	"SCOR.D2.120m.DNA_584158"	28241	98.97
"76083"	"SCOR.D2.120m.DNA_584267"	5081	98.53
"76145"	"SCOR.D2.120m.DNA_584329"	39646	99.6
"76179"	"SCOR.D2.120m.DNA_584362"	19082	99.8
"76183"	"SCOR.D2.120m.DNA_584366"	35841	99.19
"76212"	"SCOR.D2.120m.DNA_584393"	39646	98.37
"76258"	"SCOR.D2.120m.DNA_584435"	26650	99.4
"76259"	"SCOR.D2.120m.DNA_584436"	23633	99.79
"76293"	"SCOR.D2.120m.DNA_584470"	39646	99.2
"76306"	"SCOR.D2.120m.DNA_584483"	23633	98.95
"76389"	"SCOR.D2.120m.DNA_584563"	39646	98.21
"76452"	"SCOR.D2.120m.DNA_584624"	23633	99.16
"76509"	"SCOR.D2.120m.DNA_584680"	39646	99.4
"76520"	"SCOR.D2.120m.DNA_584692"	26582	99.58
"76537"	"SCOR.D2.120m.DNA_584708"	2274	98.6
"76546"	"SCOR.D2.120m.DNA_584717"	23633	97.89
"76555"	"SCOR.D2.120m.DNA_584726"	10939	98.59
"76600"	"SCOR.D2.120m.DNA_584769"	10939	97.58
"76750"	"SCOR.D2.120m.DNA_584916"	12385	98.8
"76772"	"SCOR.D2.120m.DNA_584938"	28241	99.55
"76831"	"SCOR.D2.120m.DNA_584997"	2274	99.8
"76865"	"SCOR.D2.120m.DNA_585031"	39646	98.8
"76978"	"SCOR.D2.120m.DNA_585145"	12385	99.36
"77054"	"SCOR.D2.120m.DNA_585217"	39646	98.41
"77092"	"SCOR.D2.120m.DNA_585254"	39646	98.81
"77095"	"SCOR.D2.120m.DNA_585257"	10939	98.19
"77172"	"SCOR.D2.120m.DNA_585333"	4362	99.59
"77275"	"SCOR.D2.120m.DNA_585433"	39646	99.39
"77301"	"SCOR.D2.120m.DNA_585459"	17737	97.69
"77341"	"SCOR.D2.120m.DNA_585498"	39646	99
"77449"	"SCOR.D2.120m.DNA_585604"	39646	99.19
"77507"	"SCOR.D2.120m.DNA_585661"	39646	98.81
"77543"	"SCOR.D2.120m.DNA_585697"	39646	98.81
"77659"	"SCOR.D2.120m.DNA_585811"	39646	98.99
"77682"	"SCOR.D2.120m.DNA_585834"	39646	98.81
"77687"	"SCOR.D2.120m.DNA_585839"	39646	99.4
"77694"	"SCOR.D2.120m.DNA_585846"	39646	99.01
"77709"	"SCOR.D2.120m.DNA_585861"	23633	99.16
"77742"	"SCOR.D2.120m.DNA_585893"	23633	97.9
"77782"	"SCOR.D2.120m.DNA_585928"	39646	98.63
"77814"	"SCOR.D2.120m.DNA_585960"	39646	98.59
"77835"	"SCOR.D2.120m.DNA_585981"	17737	97.72
"77895"	"SCOR.D2.120m.DNA_586040"	49468	99.37
"77959"	"SCOR.D2.120m.DNA_586096"	2274	99.39
"78057"	"SCOR.D2.120m.DNA_586190"	35841	98.95
"78071"	"SCOR.D2.120m.DNA_586204"	39646	98.81
"78156"	"SCOR.D2.120m.DNA_586287"	23633	99.16
"78179"	"SCOR.D2.120m.DNA_586310"	39646	99.21
"78205"	"SCOR.D2.120m.DNA_586332"	23633	97.9
"78283"	"SCOR.D2.120m.DNA_586411"	39646	99.01
"78294"	"SCOR.D2.120m.DNA_586422"	39646	98.77
"78299"	"SCOR.D2.120m.DNA_586427"	7561	98.57
"78332"	"SCOR.D2.120m.DNA_586456"	4362	99.38
"78361"	"SCOR.D2.120m.DNA_586485"	32940	99.2
"78372"	"SCOR.D2.120m.DNA_586494"	19082	99.8
"78457"	"SCOR.D2.120m.DNA_586579"	10939	98.38
"78496"	"SCOR.D2.120m.DNA_586617"	32940	99.4
"78562"	"SCOR.D2.120m.DNA_586681"	5081	97.9
"78563"	"SCOR.D2.120m.DNA_586682"	32940	99.6
"78602"	"SCOR.D2.120m.DNA_586717"	39646	99.19
"78659"	"SCOR.D2.120m.DNA_586771"	39646	99.02
"78672"	"SCOR.D2.120m.DNA_586782"	39646	99.4
"78674"	"SCOR.D2.120m.DNA_586784"	39646	98.75
"78694"	"SCOR.D2.120m.DNA_586804"	10939	98.19
"78718"	"SCOR.D2.120m.DNA_586828"	39646	98.99
"78722"	"SCOR.D2.120m.DNA_586832"	32940	99.57
"78791"	"SCOR.D2.120m.DNA_586900"	39646	99.21
"78841"	"SCOR.D2.120m.DNA_586947"	39646	98.81
"78850"	"SCOR.D2.120m.DNA_586954"	39646	99.59
"78853"	"SCOR.D2.120m.DNA_586957"	39646	98.8
"78943"	"SCOR.D2.120m.DNA_587044"	10939	98.59
"78997"	"SCOR.D2.120m.DNA_587096"	32940	99.4
"79016"	"SCOR.D2.120m.DNA_587115"	5081	97.7
"79038"	"SCOR.D2.120m.DNA_587137"	23633	99.3
"79123"	"SCOR.D2.120m.DNA_587221"	39646	99.21
"79153"	"SCOR.D2.120m.DNA_587251"	39646	99.21
"79157"	"SCOR.D2.120m.DNA_587255"	17737	97.93
"79179"	"SCOR.D2.120m.DNA_587278"	2274	99.76
"79205"	"SCOR.D2.120m.DNA_587304"	23633	98.74
"79225"	"SCOR.D2.120m.DNA_587323"	23633	97.94
"79243"	"SCOR.D2.120m.DNA_587338"	39646	99.39
"79335"	"SCOR.D2.120m.DNA_587430"	32940	99.76
"79396"	"SCOR.D2.120m.DNA_587487"	32940	99.78
"79406"	"SCOR.D2.120m.DNA_587497"	38500	99.8
"79411"	"SCOR.D2.120m.DNA_587502"	39646	99.21
"79418"	"SCOR.D2.120m.DNA_587509"	39646	99.6
"79431"	"SCOR.D2.120m.DNA_587522"	10939	98.53
"79445"	"SCOR.D2.120m.DNA_587536"	26650	99.4
"79717"	"SCOR.D2.120m.DNA_587791"	23633	99.58
"79744"	"SCOR.D2.120m.DNA_587818"	26650	97.61
"79791"	"SCOR.D2.120m.DNA_587864"	12385	97.76
"79828"	"SCOR.D2.120m.DNA_587899"	32940	99.2
"79863"	"SCOR.D2.120m.DNA_587934"	2274	100
"79872"	"SCOR.D2.120m.DNA_587943"	39646	98.57
"79893"	"SCOR.D2.120m.DNA_587965"	26582	100
"80016"	"SCOR.D2.120m.DNA_588083"	10939	98.14
"80087"	"SCOR.D2.120m.DNA_588151"	12385	98.53
"80102"	"SCOR.D2.120m.DNA_588166"	42840	99.38
"80103"	"SCOR.D2.120m.DNA_588167"	39646	99
"80384"	"SCOR.D2.120m.DNA_588442"	28241	99.32
"80406"	"SCOR.D2.120m.DNA_588464"	39646	98.4
"80419"	"SCOR.D2.120m.DNA_588476"	39646	99.41
"80453"	"SCOR.D2.120m.DNA_588511"	10939	98.56
"80560"	"SCOR.D2.120m.DNA_588611"	41856	98.38
"80617"	"SCOR.D2.120m.DNA_588669"	23633	98.53
"80700"	"SCOR.D2.120m.DNA_588752"	39646	99.4
"80792"	"SCOR.D2.120m.DNA_588839"	10939	98.38
"80903"	"SCOR.D2.120m.DNA_588949"	17547	99.57
"80904"	"SCOR.D2.120m.DNA_588950"	23633	99.08
"81051"	"SCOR.D2.120m.DNA_589084"	39646	98.58
"81089"	"SCOR.D2.120m.DNA_589121"	2274	99.8
"81120"	"SCOR.D2.120m.DNA_589152"	10939	98.39
"81169"	"SCOR.D2.120m.DNA_589201"	18459	98.81
"81219"	"SCOR.D2.120m.DNA_589251"	10939	98.38
"81236"	"SCOR.D2.120m.DNA_589269"	39646	99.2
"81246"	"SCOR.D2.120m.DNA_589279"	49468	99.36
"81310"	"SCOR.D2.120m.DNA_589340"	39646	98.81
"81364"	"SCOR.D2.120m.DNA_589394"	23633	99.16
"81378"	"SCOR.D2.120m.DNA_589407"	39646	99.2
"81402"	"SCOR.D2.120m.DNA_589428"	23633	97.48
"81527"	"SCOR.D2.120m.DNA_589548"	2274	98.99
"81602"	"SCOR.D2.120m.DNA_589619"	39646	99
"81637"	"SCOR.D2.120m.DNA_589653"	23633	99.16
"81651"	"SCOR.D2.120m.DNA_589667"	35841	99.75
"81793"	"SCOR.D2.120m.DNA_589801"	23633	99.16
"81830"	"SCOR.D2.120m.DNA_589838"	41856	98.1
"81834"	"SCOR.D2.120m.DNA_589842"	41856	98.52
"81844"	"SCOR.D2.120m.DNA_589852"	39646	99.6
"81846"	"SCOR.D2.120m.DNA_589854"	35162	98.8
"81871"	"SCOR.D2.120m.DNA_589878"	10939	97.99
"81914"	"SCOR.D2.120m.DNA_589919"	10939	98.19
"82012"	"SCOR.D2.120m.DNA_590016"	39646	99.6
"82067"	"SCOR.D2.120m.DNA_590068"	23633	97.69
"82197"	"SCOR.D2.120m.DNA_590191"	23633	100
"82283"	"SCOR.D2.120m.DNA_590277"	12385	100
"82295"	"SCOR.D2.120m.DNA_590289"	10939	98.38
"82339"	"SCOR.D2.120m.DNA_590333"	28241	99.38
"82343"	"SCOR.D2.120m.DNA_590337"	39646	98.61
"82435"	"SCOR.D2.120m.DNA_590419"	5081	98.11
"82470"	"SCOR.D2.120m.DNA_590454"	23633	99.16
"82502"	"SCOR.D2.120m.DNA_590486"	10939	98.59
"82536"	"SCOR.D2.120m.DNA_590519"	35841	99.39
"82577"	"SCOR.D2.120m.DNA_590560"	12385	98.93
"82684"	"SCOR.D2.120m.DNA_590666"	35162	99.2
"82778"	"SCOR.D2.120m.DNA_590757"	19082	99.6
"82788"	"SCOR.D2.120m.DNA_590768"	12385	99.57
"82833"	"SCOR.D2.120m.DNA_590813"	19082	100
"82838"	"SCOR.D2.120m.DNA_590818"	39646	98.58
"82848"	"SCOR.D2.120m.DNA_590828"	23633	97.29
"82877"	"SCOR.D2.120m.DNA_590857"	39646	98.42
"82999"	"SCOR.D2.120m.DNA_590967"	39646	99.21
"83033"	"SCOR.D2.120m.DNA_591000"	2274	99.24
"83043"	"SCOR.D2.120m.DNA_591010"	8780	98.38
"83171"	"SCOR.D2.120m.DNA_591135"	17737	97.93
"83196"	"SCOR.D2.120m.DNA_591160"	17737	97.31
"83273"	"SCOR.D2.120m.DNA_591236"	23633	99.16
"83298"	"SCOR.D2.120m.DNA_591262"	32940	99.17
"83323"	"SCOR.D2.120m.DNA_591288"	12385	97.98
"83339"	"SCOR.D2.120m.DNA_591304"	2274	98.31
"83423"	"SCOR.D2.120m.DNA_591385"	23633	99.37
"83432"	"SCOR.D2.120m.DNA_591394"	38500	99.2
"83457"	"SCOR.D2.120m.DNA_591419"	2274	99.8
"83460"	"SCOR.D2.120m.DNA_591422"	23633	97.9
"83476"	"SCOR.D2.120m.DNA_591437"	23633	97.9
"83484"	"SCOR.D2.120m.DNA_591445"	32940	99.4
"83494"	"SCOR.D2.120m.DNA_591452"	12385	99.02
"83516"	"SCOR.D2.120m.DNA_591474"	17737	97.93
"83606"	"SCOR.D2.120m.DNA_591560"	39646	99.59
"83643"	"SCOR.D2.120m.DNA_591596"	32940	99.4
"83713"	"SCOR.D2.120m.DNA_591664"	39646	98.99
"83723"	"SCOR.D2.120m.DNA_591674"	10939	98.9
"83751"	"SCOR.D2.120m.DNA_591701"	32940	99.4
"83799"	"SCOR.D2.120m.DNA_591749"	39646	99.4
"83804"	"SCOR.D2.120m.DNA_591754"	39646	98.4
"83814"	"SCOR.D2.120m.DNA_591764"	35841	99.79
"83832"	"SCOR.D2.120m.DNA_591781"	39646	99.38
"83870"	"SCOR.D2.120m.DNA_591816"	39646	99.2
"83892"	"SCOR.D2.120m.DNA_591837"	5081	97.91
